[10, 2, 16, 5, 9, 4, 15, 7, 3, 6, 13, 1, 8, 12, 14, 11]
[3, 14, 9, 13, 10, 11, 12, 1, 4, 8, 15, 16, 7, 6, 2, 5]
[11, 7, 6, 4, 14, 13, 8, 2, 5, 9, 12, 10, 16, 3, 15, 1]
[15, 12, 8, 1, 3, 16, 5, 6, 7, 11, 2, 14, 9, 10, 13, 4]
[5, 10, 13, 6, 2, 12, 3, 4, 16, 7, 9, 11, 1, 14, 8, 15]
[9, 16, 12, 15, 7, 14, 13, 11, 1, 4, 8, 2, 6, 5, 10, 3]
[1, 3, 7, 11, 5, 8, 6, 9, 13, 10, 14, 15, 4, 16, 12, 2]
[4, 8, 14, 2, 1, 15, 10, 16, 6, 5, 3, 12, 13, 11, 9, 7]
[16, 4, 15, 7, 12, 5, 2, 13, 11, 14, 1, 8, 10, 9, 3, 6]
[13, 9, 10, 12, 4, 6, 11, 8, 2, 3, 5, 7, 14, 15, 1, 16]
[8, 5, 11, 14, 15, 10, 1, 3, 9, 16, 4, 6, 12, 2, 7, 13]
[2, 6, 1, 3, 16, 7, 9, 14, 15, 12, 10, 13, 11, 4, 5, 8]
[14, 13, 2, 16, 6, 9, 4, 10, 8, 15, 7, 3, 5, 1, 11, 12]
[6, 15, 5, 8, 13, 1, 16, 12, 10, 2, 11, 9, 3, 7, 4, 14]
[12, 1, 3, 9, 11, 2, 7, 5, 14, 13, 6, 4, 15, 8, 16, 10]
[7, 11, 4, 10, 8, 3, 14, 15, 12, 1, 16, 5, 2, 13, 6, 9]
Temps d'execució 1.46238298E9 seconds
